"","rel_beta"
"2021-01-15",1
"2021-01-16",0.999916727478058
"2021-01-17",0.999833454956115
"2021-01-18",0.999750182434173
"2021-01-19",0.999666909912231
"2021-01-20",0.999583637390289
"2021-01-21",0.999500364868347
"2021-01-22",0.999417092346404
"2021-01-23",0.999333819824462
"2021-01-24",0.99925054730252
"2021-01-25",0.999167274780577
"2021-01-26",0.999084002258635
"2021-01-27",0.999000729736693
"2021-01-28",0.998917457214751
"2021-01-29",0.998834184692808
"2021-01-30",0.998750912170866
"2021-01-31",0.998667639648924
"2021-02-01",0.998584367126982
"2021-02-02",0.998501094605039
"2021-02-03",0.998417822083097
"2021-02-04",0.998334549561155
"2021-02-05",0.998251277039213
"2021-02-06",0.998168004517271
"2021-02-07",0.998084731995328
"2021-02-08",0.998001459473386
"2021-02-09",0.997918186951444
"2021-02-10",0.997834914429501
"2021-02-11",0.997751641907559
"2021-02-12",0.997668369385617
"2021-02-13",0.997585096863675
"2021-02-14",0.997501824341733
"2021-02-15",0.99741855181979
"2021-02-16",0.994773039476919
"2021-02-17",0.992127527134048
"2021-02-18",0.989482014791176
"2021-02-19",0.986836502448305
"2021-02-20",0.984190990105434
"2021-02-21",0.981545477762563
"2021-02-22",0.978899965419692
"2021-02-23",0.97625445307682
"2021-02-24",0.973608940733949
"2021-02-25",0.970963428391078
"2021-02-26",0.968317916048207
"2021-02-27",0.965672403705335
"2021-02-28",0.963026891362464
"2021-03-01",0.960381379019593
"2021-03-02",0.957735866676722
"2021-03-03",0.95509035433385
"2021-03-04",0.952444841990979
"2021-03-05",0.949799329648108
"2021-03-06",0.947153817305237
"2021-03-07",0.944508304962366
"2021-03-08",0.941862792619494
"2021-03-09",0.939217280276623
"2021-03-10",0.936571767933752
"2021-03-11",0.933926255590881
"2021-03-12",0.931280743248009
"2021-03-13",0.928635230905138
"2021-03-14",0.925989718562267
"2021-03-15",0.923344206219396
"2021-03-16",0.918673615547611
"2021-03-17",0.914003024875826
"2021-03-18",0.909332434204041
"2021-03-19",0.904661843532256
"2021-03-20",0.899991252860471
"2021-03-21",0.895320662188687
"2021-03-22",0.890650071516902
"2021-03-23",0.885979480845117
"2021-03-24",0.881308890173332
"2021-03-25",0.876638299501547
"2021-03-26",0.871967708829762
"2021-03-27",0.867297118157977
"2021-03-28",0.862626527486193
"2021-03-29",0.857955936814408
"2021-03-30",0.853285346142623
"2021-03-31",0.848614755470838
"2021-04-01",0.843944164799053
"2021-04-02",0.839273574127268
"2021-04-03",0.834602983455483
"2021-04-04",0.829932392783698
"2021-04-05",0.825261802111914
"2021-04-06",0.820591211440129
"2021-04-07",0.815920620768344
"2021-04-08",0.811250030096559
"2021-04-09",0.806579439424774
"2021-04-10",0.801908848752989
"2021-04-11",0.797238258081204
"2021-04-12",0.79256766740942
"2021-04-13",0.787897076737635
"2021-04-14",0.78322648606585
"2021-04-15",0.778555895394065
"2021-04-16",0.774211328782156
"2021-04-17",0.769866762170248
"2021-04-18",0.765522195558339
"2021-04-19",0.76117762894643
"2021-04-20",0.756833062334522
"2021-04-21",0.752488495722613
"2021-04-22",0.748143929110704
"2021-04-23",0.743799362498796
"2021-04-24",0.739454795886887
"2021-04-25",0.735110229274979
"2021-04-26",0.73076566266307
"2021-04-27",0.726421096051161
"2021-04-28",0.722076529439253
"2021-04-29",0.717731962827344
"2021-04-30",0.713387396215435
"2021-05-01",0.709042829603527
"2021-05-02",0.704698262991618
"2021-05-03",0.700353696379709
"2021-05-04",0.696009129767801
"2021-05-05",0.691664563155892
"2021-05-06",0.687319996543984
"2021-05-07",0.682975429932075
"2021-05-08",0.678630863320166
"2021-05-09",0.674286296708258
"2021-05-10",0.669941730096349
"2021-05-11",0.66559716348444
"2021-05-12",0.661252596872532
"2021-05-13",0.656908030260623
"2021-05-14",0.652563463648715
"2021-05-15",0.648218897036806
"2021-05-16",0.645764939382168
"2021-05-17",0.64331098172753
"2021-05-18",0.640857024072891
"2021-05-19",0.638403066418253
"2021-05-20",0.635949108763615
"2021-05-21",0.633495151108977
"2021-05-22",0.631041193454339
"2021-05-23",0.628587235799701
"2021-05-24",0.626133278145063
"2021-05-25",0.623679320490424
"2021-05-26",0.621225362835786
"2021-05-27",0.618771405181148
"2021-05-28",0.61631744752651
"2021-05-29",0.613863489871872
"2021-05-30",0.611409532217234
"2021-05-31",0.608955574562596
"2021-06-01",0.606501616907957
"2021-06-02",0.604047659253319
"2021-06-03",0.601593701598681
"2021-06-04",0.599139743944043
"2021-06-05",0.596685786289405
"2021-06-06",0.594231828634767
"2021-06-07",0.591777870980128
"2021-06-08",0.58932391332549
"2021-06-09",0.586869955670852
"2021-06-10",0.584415998016214
"2021-06-11",0.581962040361576
"2021-06-12",0.579508082706938
"2021-06-13",0.5770541250523
"2021-06-14",0.574600167397662
"2021-06-15",0.572146209743023
"2021-06-16",0.57012271892181
"2021-06-17",0.568099228100596
"2021-06-18",0.566075737279382
"2021-06-19",0.564052246458168
"2021-06-20",0.562028755636954
"2021-06-21",0.56000526481574
"2021-06-22",0.557981773994527
"2021-06-23",0.555958283173313
"2021-06-24",0.553934792352099
"2021-06-25",0.551911301530885
"2021-06-26",0.549887810709671
"2021-06-27",0.547864319888457
"2021-06-28",0.545840829067244
"2021-06-29",0.54381733824603
"2021-06-30",0.541793847424816
"2021-07-01",0.539770356603602
"2021-07-02",0.537746865782388
"2021-07-03",0.535723374961175
"2021-07-04",0.533699884139961
"2021-07-05",0.531676393318747
"2021-07-06",0.529652902497533
"2021-07-07",0.527629411676319
"2021-07-08",0.525605920855105
"2021-07-09",0.523582430033891
"2021-07-10",0.521558939212678
"2021-07-11",0.519535448391464
"2021-07-12",0.51751195757025
"2021-07-13",0.515488466749036
"2021-07-14",0.513464975927822
"2021-07-15",0.511441485106609
"2021-07-16",0.511441485106609
"2021-07-17",0.511441485106609
"2021-07-18",0.511441485106609
"2021-07-19",0.511441485106609
"2021-07-20",0.511441485106609
"2021-07-21",0.511441485106609
"2021-07-22",0.511441485106609
"2021-07-23",0.511441485106609
"2021-07-24",0.511441485106609
"2021-07-25",0.511441485106609
"2021-07-26",0.511441485106609
"2021-07-27",0.511441485106609
"2021-07-28",0.511441485106609
"2021-07-29",0.511441485106609
"2021-07-30",0.511441485106609
"2021-07-31",0.511441485106609
"2021-08-01",0.511441485106609
"2021-08-02",0.511441485106609
"2021-08-03",0.511441485106609
"2021-08-04",0.511441485106609
"2021-08-05",0.511441485106609
"2021-08-06",0.511441485106609
"2021-08-07",0.511441485106609
"2021-08-08",0.511441485106609
"2021-08-09",0.511441485106609
"2021-08-10",0.511441485106609
"2021-08-11",0.511441485106609
"2021-08-12",0.511441485106609
"2021-08-13",0.511441485106609
"2021-08-14",0.511441485106609
"2021-08-15",0.511441485106609
"2021-08-16",0.514458479278883
"2021-08-17",0.517475473451158
"2021-08-18",0.520492467623433
"2021-08-19",0.523509461795708
"2021-08-20",0.526526455967983
"2021-08-21",0.529543450140257
"2021-08-22",0.532560444312532
"2021-08-23",0.535577438484807
"2021-08-24",0.538594432657082
"2021-08-25",0.541611426829357
"2021-08-26",0.544628421001631
"2021-08-27",0.547645415173906
"2021-08-28",0.550662409346181
"2021-08-29",0.553679403518456
"2021-08-30",0.556696397690731
"2021-08-31",0.559713391863006
"2021-09-01",0.56273038603528
"2021-09-02",0.565747380207555
"2021-09-03",0.56876437437983
"2021-09-04",0.571781368552105
"2021-09-05",0.57479836272438
"2021-09-06",0.577815356896654
"2021-09-07",0.580832351068929
"2021-09-08",0.583849345241204
"2021-09-09",0.586866339413479
"2021-09-10",0.589883333585754
"2021-09-11",0.592900327758028
"2021-09-12",0.595917321930303
"2021-09-13",0.598934316102578
"2021-09-14",0.601951310274853
"2021-09-15",0.604968304447128
"2021-09-16",0.609634800681999
"2021-09-17",0.61430129691687
"2021-09-18",0.618967793151742
"2021-09-19",0.623634289386613
"2021-09-20",0.628300785621484
"2021-09-21",0.632967281856356
"2021-09-22",0.637633778091227
"2021-09-23",0.642300274326098
"2021-09-24",0.64696677056097
"2021-09-25",0.651633266795841
"2021-09-26",0.656299763030712
"2021-09-27",0.660966259265584
"2021-09-28",0.665632755500455
"2021-09-29",0.670299251735327
"2021-09-30",0.674965747970198
"2021-10-01",0.679632244205069
"2021-10-02",0.684298740439941
"2021-10-03",0.688965236674812
"2021-10-04",0.693631732909683
"2021-10-05",0.698298229144555
"2021-10-06",0.702964725379426
"2021-10-07",0.707631221614297
"2021-10-08",0.712297717849169
"2021-10-09",0.71696421408404
"2021-10-10",0.721630710318911
"2021-10-11",0.726297206553783
"2021-10-12",0.730963702788654
"2021-10-13",0.735630199023525
"2021-10-14",0.740296695258397
"2021-10-15",0.744963191493268
"2021-10-16",0.749583038341516
"2021-10-17",0.754202885189763
"2021-10-18",0.758822732038011
"2021-10-19",0.763442578886258
"2021-10-20",0.768062425734506
"2021-10-21",0.772682272582753
"2021-10-22",0.777302119431001
"2021-10-23",0.781921966279249
"2021-10-24",0.786541813127496
"2021-10-25",0.791161659975744
"2021-10-26",0.795781506823991
"2021-10-27",0.800401353672239
"2021-10-28",0.805021200520486
"2021-10-29",0.809641047368734
"2021-10-30",0.814260894216982
"2021-10-31",0.818880741065229
"2021-11-01",0.823500587913477
"2021-11-02",0.828120434761724
"2021-11-03",0.832740281609972
"2021-11-04",0.837360128458219
"2021-11-05",0.841979975306467
"2021-11-06",0.846599822154715
"2021-11-07",0.851219669002962
"2021-11-08",0.85583951585121
"2021-11-09",0.860459362699457
"2021-11-10",0.865079209547705
"2021-11-11",0.869699056395952
"2021-11-12",0.8743189032442
"2021-11-13",0.878938750092447
"2021-11-14",0.883558596940695
"2021-11-15",0.888178443788943
"2021-11-16",0.890936736723271
"2021-11-17",0.8936950296576
"2021-11-18",0.896453322591929
"2021-11-19",0.899211615526257
"2021-11-20",0.901969908460586
"2021-11-21",0.904728201394915
"2021-11-22",0.907486494329244
"2021-11-23",0.910244787263572
"2021-11-24",0.913003080197901
"2021-11-25",0.91576137313223
"2021-11-26",0.918519666066558
"2021-11-27",0.921277959000887
"2021-11-28",0.924036251935216
"2021-11-29",0.926794544869544
"2021-11-30",0.929552837803873
"2021-12-01",0.932311130738202
"2021-12-02",0.935069423672531
"2021-12-03",0.937827716606859
"2021-12-04",0.940586009541188
"2021-12-05",0.943344302475517
"2021-12-06",0.946102595409845
"2021-12-07",0.948860888344174
"2021-12-08",0.951619181278503
"2021-12-09",0.954377474212831
"2021-12-10",0.95713576714716
"2021-12-11",0.959894060081489
"2021-12-12",0.962652353015817
"2021-12-13",0.965410645950146
"2021-12-14",0.968168938884475
"2021-12-15",0.970927231818803
