,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80
2020-12-28,0,45,898,1051,1207,1393,764,616,1506
2020-12-29,0,45,898,1051,1207,1393,764,616,1506
2020-12-30,0,45,898,1051,1207,1393,764,616,1506
2020-12-31,0,45,898,1051,1207,1393,764,616,1506
2021-01-01,0,45,898,1051,1207,1393,764,616,1506
2021-01-02,0,45,898,1051,1207,1393,764,616,1506
2021-01-03,0,45,898,1051,1207,1393,764,616,1506
2021-01-04,0,34,606,715,834,1012,897,1520,3602
2021-01-05,0,34,606,715,834,1012,897,1520,3602
2021-01-06,0,34,606,715,834,1012,897,1520,3602
2021-01-07,0,34,606,715,834,1012,897,1520,3602
2021-01-08,0,34,606,715,834,1012,897,1520,3602
2021-01-09,0,34,606,715,834,1012,897,1520,3602
2021-01-10,0,34,606,715,834,1012,897,1520,3602
2021-01-11,0,49,1052,1232,1402,1563,810,539,1065
2021-01-12,0,49,1052,1232,1402,1563,810,539,1065
2021-01-13,0,49,1052,1232,1402,1563,810,539,1065
2021-01-14,0,49,1052,1232,1402,1563,810,539,1065
2021-01-15,0,49,1052,1232,1402,1563,810,539,1065
2021-01-16,0,49,1052,1232,1402,1563,810,539,1065
2021-01-17,0,49,1052,1232,1402,1563,810,539,1065
2021-01-18,0,11,110,135,173,239,248,340,374
2021-01-19,0,11,110,135,173,239,248,340,374
2021-01-20,0,11,110,135,173,239,248,340,374
2021-01-21,0,11,110,135,173,239,248,340,374
2021-01-22,0,11,110,135,173,239,248,340,374
2021-01-23,0,11,110,135,173,239,248,340,374
2021-01-24,0,11,110,135,173,239,248,340,374
2021-01-25,0,3,13,18,30,54,88,147,291
2021-01-26,0,3,13,18,30,54,88,147,291
2021-01-27,0,3,13,18,30,54,88,147,291
2021-01-28,0,3,13,18,30,54,88,147,291
2021-01-29,0,3,13,18,30,54,88,147,291
2021-01-30,0,3,13,18,30,54,88,147,291
2021-01-31,0,3,13,18,30,54,88,147,291
2021-02-01,0,0,0,0,0,0,0,0,1473
2021-02-02,0,0,0,0,0,0,0,0,1473
2021-02-03,0,0,0,0,0,0,0,0,1473
2021-02-04,0,0,0,0,0,0,0,0,1473
2021-02-05,0,0,0,0,0,0,0,0,1473
2021-02-06,0,0,0,0,0,0,0,0,1473
2021-02-07,0,0,0,0,0,0,0,0,1473
2021-02-08,0,23,514,601,681,753,403,324,3167
2021-02-09,0,23,514,601,681,753,403,324,3167
2021-02-10,0,23,514,601,681,753,403,324,3167
2021-02-11,0,23,514,601,681,753,403,324,3167
2021-02-12,0,23,514,601,681,753,403,324,3167
2021-02-13,0,23,514,601,681,753,403,324,3167
2021-02-14,0,23,514,601,681,753,403,324,3167
2021-02-15,0,28,384,453,533,635,522,709,7219
2021-02-16,0,28,384,453,533,635,522,709,7219
2021-02-17,0,28,384,453,533,635,522,709,7219
2021-02-18,0,28,384,453,533,635,522,709,7219
2021-02-19,0,28,384,453,533,635,522,709,7219
2021-02-20,0,28,384,453,533,635,522,709,7219
2021-02-21,0,28,384,453,533,635,522,709,7219
2021-02-22,0,65,797,955,1164,1471,1112,1024,3366
2021-02-23,0,65,797,955,1164,1471,1112,1024,3366
2021-02-24,0,65,797,955,1164,1471,1112,1024,3366
2021-02-25,0,65,797,955,1164,1471,1112,1024,3366
2021-02-26,0,65,797,955,1164,1471,1112,1024,3366
2021-02-27,0,65,797,955,1164,1471,1112,1024,3366
2021-02-28,0,65,797,955,1164,1471,1112,1024,3366
2021-03-01,0,45,172,227,355,615,858,1194,579
2021-03-02,0,45,172,227,355,615,858,1194,579
2021-03-03,0,45,172,227,355,615,858,1194,579
2021-03-04,0,45,172,227,355,615,858,1194,579
2021-03-05,0,45,172,227,355,615,858,1194,579
2021-03-06,0,45,172,227,355,615,858,1194,579
2021-03-07,0,45,172,227,355,615,858,1194,579
2021-03-08,0,29,104,131,197,330,444,607,301
2021-03-09,0,29,104,131,197,330,444,607,301
2021-03-10,0,29,104,131,197,330,444,607,301
2021-03-11,0,29,104,131,197,330,444,607,301
2021-03-12,0,29,104,131,197,330,444,607,301
2021-03-13,0,29,104,131,197,330,444,607,301
2021-03-14,0,29,104,131,197,330,444,607,301
2021-03-15,0,0,0,0,0,0,0,17127,6904
2021-03-16,0,0,0,0,0,0,0,17127,6904
2021-03-17,0,0,0,0,0,0,0,17127,6904
2021-03-18,0,0,0,0,0,0,0,17127,6904
2021-03-19,0,0,0,0,0,0,0,17127,6904
2021-03-20,0,0,0,0,0,0,0,17127,6904
2021-03-21,0,0,0,0,0,0,0,17127,6904
2021-03-22,0,0,0,0,0,0,0,0,4750
2021-03-23,0,0,0,0,0,0,0,0,4750
2021-03-24,0,0,0,0,0,0,0,0,4750
2021-03-25,0,0,0,0,0,0,0,0,4750
2021-03-26,0,0,0,0,0,0,0,0,4750
2021-03-27,0,0,0,0,0,0,0,0,4750
2021-03-28,0,0,0,0,0,0,0,0,4750
2021-03-29,0,0,0,0,0,0,0,2400,6707
2021-03-30,0,0,0,0,0,0,0,2400,6707
2021-03-31,0,0,0,0,0,0,0,2400,6707
2021-04-01,0,0,0,0,0,0,0,2400,6707
2021-04-02,0,0,0,0,0,0,0,2400,6707
2021-04-03,0,0,0,0,0,0,0,2400,6707
2021-04-04,0,0,0,0,0,0,0,2400,6707
2021-04-05,0,45,1034,1206,1365,1501,10898,23346,1
2021-04-06,0,45,1034,1206,1365,1501,10898,23346,1
2021-04-07,0,45,1034,1206,1365,1501,10898,23346,1
2021-04-08,0,45,1034,1206,1365,1501,10898,23346,1
2021-04-09,0,45,1034,1206,1365,1501,10898,23346,1
2021-04-10,0,45,1034,1206,1365,1501,10898,23346,1
2021-04-11,0,45,1034,1206,1365,1501,10898,23346,1
2021-04-12,0,0,0,0,0,0,23450,23129,0
2021-04-13,0,0,0,0,0,0,23450,23129,0
2021-04-14,0,0,0,0,0,0,23450,23129,0
2021-04-15,0,0,0,0,0,0,23450,23129,0
2021-04-16,0,0,0,0,0,0,23450,23129,0
2021-04-17,0,0,0,0,0,0,23450,23129,0
2021-04-18,0,0,0,0,0,0,23450,23129,0
2021-04-19,0,301,829,733,781,829,4435,4022,0
2021-04-20,0,301,829,733,781,829,4435,4022,0
2021-04-21,0,301,829,733,781,829,4435,4022,0
2021-04-22,0,301,829,733,781,829,4435,4022,0
2021-04-23,0,301,829,733,781,829,4435,4022,0
2021-04-24,0,301,829,733,781,829,4435,4022,0
2021-04-25,0,301,829,733,781,829,4435,4022,0
2021-04-26,0,334,920,813,866,920,396,0,0
2021-04-27,0,334,920,813,866,920,396,0,0
2021-04-28,0,334,920,813,866,920,396,0,0
2021-04-29,0,334,920,813,866,920,396,0,0
2021-04-30,0,334,920,813,866,920,396,0,0
2021-05-01,0,334,920,813,866,920,396,0,0
2021-05-02,0,334,920,813,866,920,396,0,0
2021-05-03,0,1294,3402,2958,3138,3324,1470,0,0
2021-05-04,0,1294,3402,2958,3138,3324,1470,0,0
2021-05-05,0,1294,3402,2958,3138,3324,1470,0,0
2021-05-06,0,1294,3402,2958,3138,3324,1470,0,0
2021-05-07,0,1294,3402,2958,3138,3324,1470,0,0
2021-05-08,0,1294,3402,2958,3138,3324,1470,0,0
2021-05-09,0,1294,3402,2958,3138,3324,1470,0,0
2021-05-10,0,1314,3452,3002,3184,3374,1492,0,0
2021-05-11,0,1314,3452,3002,3184,3374,1492,0,0
2021-05-12,0,1314,3452,3002,3184,3374,1492,0,0
2021-05-13,0,1314,3452,3002,3184,3374,1492,0,0
2021-05-14,0,1314,3452,3002,3184,3374,1492,0,0
2021-05-15,0,1314,3452,3002,3184,3374,1492,0,0
2021-05-16,0,1314,3452,3002,3184,3374,1492,0,0
2021-05-17,0,1324,3479,3026,3209,3400,1503,0,0
2021-05-18,0,1324,3479,3026,3209,3400,1503,0,0
2021-05-19,0,1324,3479,3026,3209,3400,1503,0,0
2021-05-20,0,1324,3479,3026,3209,3400,1503,0,0
2021-05-21,0,1324,3479,3026,3209,3400,1503,0,0
2021-05-22,0,1324,3479,3026,3209,3400,1503,0,0
2021-05-23,0,1324,3479,3026,3209,3400,1503,0,0
2021-05-24,0,1325,3482,3028,3212,3403,1505,0,0
2021-05-25,0,1325,3482,3028,3212,3403,1505,0,0
2021-05-26,0,1325,3482,3028,3212,3403,1505,0,0
2021-05-27,0,1325,3482,3028,3212,3403,1505,0,0
2021-05-28,0,1325,3482,3028,3212,3403,1505,0,0
2021-05-29,0,1325,3482,3028,3212,3403,1505,0,0
2021-05-30,0,1325,3482,3028,3212,3403,1505,0,0
2021-05-31,0,1038,2728,2372,2516,2666,1179,0,0
2021-06-01,0,1038,2728,2372,2516,2666,1179,0,0
2021-06-02,0,1038,2728,2372,2516,2666,1179,0,0
2021-06-03,0,1038,2728,2372,2516,2666,1179,0,0
2021-06-04,0,1038,2728,2372,2516,2666,1179,0,0
2021-06-05,0,1038,2728,2372,2516,2666,1179,0,0
2021-06-06,0,1038,2728,2372,2516,2666,1179,0,0
2021-06-07,0,0,0,0,0,0,0,0,0
2021-06-08,0,0,0,0,0,0,0,0,0
2021-06-09,0,0,0,0,0,0,0,0,0
2021-06-10,0,0,0,0,0,0,0,0,0
2021-06-11,0,0,0,0,0,0,0,0,0
2021-06-12,0,0,0,0,0,0,0,0,0
2021-06-13,0,0,0,0,0,0,0,0,0
2021-06-14,0,0,0,0,0,0,0,0,0
2021-06-15,0,0,0,0,0,0,0,0,0
2021-06-16,0,0,0,0,0,0,0,0,0
2021-06-17,0,0,0,0,0,0,0,0,0
2021-06-18,0,0,0,0,0,0,0,0,0
2021-06-19,0,0,0,0,0,0,0,0,0
2021-06-20,0,0,0,0,0,0,0,0,0
2021-06-21,0,0,0,0,0,0,0,0,0
2021-06-22,0,0,0,0,0,0,0,0,0
2021-06-23,0,0,0,0,0,0,0,0,0
2021-06-24,0,0,0,0,0,0,0,0,0
2021-06-25,0,0,0,0,0,0,0,0,0
2021-06-26,0,0,0,0,0,0,0,0,0
2021-06-27,0,0,0,0,0,0,0,0,0
2021-06-28,0,0,0,0,0,0,0,0,0
2021-06-29,0,0,0,0,0,0,0,0,0
2021-06-30,0,0,0,0,0,0,0,0,0
2021-07-01,0,0,0,0,0,0,0,0,0
2021-07-02,0,0,0,0,0,0,0,0,0
2021-07-03,0,0,0,0,0,0,0,0,0
2021-07-04,0,0,0,0,0,0,0,0,0
2021-07-05,0,0,0,0,0,0,0,0,0
2021-07-06,0,0,0,0,0,0,0,0,0
2021-07-07,0,0,0,0,0,0,0,0,0
2021-07-08,0,0,0,0,0,0,0,0,0
2021-07-09,0,0,0,0,0,0,0,0,0
2021-07-10,0,0,0,0,0,0,0,0,0
2021-07-11,0,0,0,0,0,0,0,0,0
2021-07-12,0,0,0,0,0,0,0,0,0
2021-07-13,0,0,0,0,0,0,0,0,0
2021-07-14,0,0,0,0,0,0,0,0,0
2021-07-15,0,0,0,0,0,0,0,0,0
2021-07-16,0,0,0,0,0,0,0,0,0
2021-07-17,0,0,0,0,0,0,0,0,0
2021-07-18,0,0,0,0,0,0,0,0,0
